Feature,Importance
id,0.02588151133035401
cont1,0.011234676016336945
cont2,0.0435822216743943
cont3,0.012244881172146163
cont4,0.010907997128761981
cont5,0.011396414271766766
cont6,0.011848152470930377
cont7,0.05533221039973322
cont8,0.012514438784746635
cont9,0.00818699513579344
cont10,0.008377562038582422
cont11,0.01168481253877586
cont12,0.011970990739539071
cont13,0.010989013526417547
cont14,0.03429530151621776
cat1_A,0.003663989192122899
cat1_B,0.004811709249931922
cat2_A,0.0011495187837711335
cat2_B,0.0027993131321909052
cat3_A,0.0004260807095963822
cat3_B,0.0004112135217032213
cat4_A,0.000982588792856465
cat4_B,0.0012117138642630822
cat5_A,0.0009956862547243197
cat5_B,0.0013390417694814666
cat6_A,0.0011393935950182968
cat6_B,0.001287884465239128
cat7_A,0.00018031552026851526
cat7_B,0.00021790851925693736
cat8_A,0.0003824907610362932
cat8_B,0.00045599785414381533
cat9_A,0.0011021219530535705
cat9_B,0.0011223653044320867
cat10_A,0.0014993899635704177
cat10_B,0.0013965705550253063
cat11_A,0.001576318545722283
cat11_B,0.0017457561252064821
cat12_A,0.013344517793469434
cat12_B,0.021750170237353973
cat13_A,0.0014410525610766246
cat13_B,0.0013922039665532982
cat14_A,0.0004625103032126859
cat14_B,0.0004879986793437926
cat15_A,5.279878980112272e-06
cat15_B,2.0819556608734284e-06
cat16_A,0.0006163581000265584
cat16_B,0.0005704940802165524
cat17_A,0.00030693062797437656
cat17_B,0.00026710830983467143
cat18_A,0.00020041455496743157
cat18_B,0.0001957311647035536
cat19_A,0.0002787792967793164
cat19_B,0.00027144370400223326
cat20_A,7.760664040182315e-05
cat20_B,7.577409132698529e-05
cat21_A,6.198478798905458e-05
cat21_B,5.369055401303169e-05
cat22_A,5.325023446267798e-06
cat22_B,2.76155474432206e-06
cat23_A,0.0012307222428954727
cat23_B,0.0011838639021675968
cat24_A,0.0005345103115151161
cat24_B,0.00047077501259195525
cat25_A,0.0010906156590670293
cat25_B,0.0011356680055700083
cat26_A,0.0015985545508222037
cat26_B,0.0015746681534570923
cat27_A,0.0016480907037576082
cat27_B,0.001613784153339122
cat28_A,0.0006326663774116857
cat28_B,0.0005921057546088759
cat29_A,0.0005820008686640789
cat29_B,0.0004810004613131376
cat30_A,0.00032968116383736123
cat30_B,0.000332733040490224
cat31_A,0.00040276953299334795
cat31_B,0.0004129291392356806
cat32_A,0.0002547834729126193
cat32_B,0.0002562959607120778
cat33_A,0.00016929794272205315
cat33_B,0.00013566651653356304
cat34_A,0.00013681809113966868
cat34_B,0.00012866104374776482
cat35_A,0.00010274513280261036
cat35_B,0.00011473750043812583
cat36_A,0.0013763670905386147
cat36_B,0.0013066861777567664
cat37_A,0.0012337978719370718
cat37_B,0.001168005485954486
cat38_A,0.0017020050589689883
cat38_B,0.0014448665638087507
cat39_A,0.00039400194698194056
cat39_B,0.000391995772538717
cat40_A,0.0006396769662574824
cat40_B,0.0006514706307887988
cat41_A,0.0005172466982528162
cat41_B,0.0004927521528488194
cat42_A,0.0003063121395110343
cat42_B,0.00021984118797389467
cat43_A,0.0003802452592492072
cat43_B,0.0003060377146385939
cat44_A,0.00251338681965379
cat44_B,0.002308091179757517
cat45_A,0.0005460826955327514
cat45_B,0.0005021644330436213
cat46_A,0.00016303932558273045
cat46_B,0.0002530416372965461
cat47_A,0.00026126627580839724
cat47_B,0.00029658918033428406
cat48_A,5.986611823887371e-05
cat48_B,6.072733772754745e-05
cat49_A,0.0010036333191116018
cat49_B,0.0010190025912352706
cat50_A,0.0011098607919746495
cat50_B,0.001366723488129952
cat51_A,0.0003681163031530405
cat51_B,0.0003176705681411748
cat52_A,0.0010814740812674765
cat52_B,0.0011583546546685862
cat53_A,0.0035977803335889157
cat53_B,0.002814495528526284
cat54_A,0.0004046423637459779
cat54_B,0.00031832234127515647
cat55_A,4.8967979930707285e-05
